Time[s], Channel 0, Channel 1, Channel 2
14.8432088, 0, 0, 1
14.8432230, 1, 0, 1
14.8432335, 0, 0, 1
14.8432439, 1, 0, 1
14.8432544, 0, 0, 1
14.8432648, 1, 0, 1
14.8432753, 0, 0, 1
14.8432858, 1, 0, 1
14.8432962, 0, 0, 1
14.8433067, 1, 0, 1
14.8433172, 0, 0, 1
14.8433276, 1, 0, 1
14.8433381, 0, 0, 1
14.8433485, 1, 0, 1
14.8433590, 0, 0, 1
14.8433695, 1, 0, 1
14.8433799, 0, 0, 1
14.8433942, 1, 0, 1
14.8434047, 0, 0, 1
14.8434151, 1, 0, 1
14.8434256, 0, 0, 1
14.8434361, 1, 0, 1
14.8434465, 0, 0, 1
14.8434570, 1, 0, 1
14.8434675, 0, 0, 1
14.8434779, 1, 0, 1
14.8434884, 0, 0, 1
14.8434988, 1, 0, 1
14.8435093, 0, 0, 1
14.8435198, 1, 0, 1
14.8435302, 0, 0, 1
14.8435407, 1, 0, 1
14.8435512, 0, 0, 1
14.8436971, 1, 0, 1
14.8437075, 0, 0, 1
14.8437285, 1, 0, 1
14.8437389, 0, 0, 1
14.8437496, 0, 1, 1
14.8437599, 1, 1, 1
14.8437702, 0, 1, 1
14.8437913, 1, 1, 1
14.8438016, 0, 1, 1
14.8438123, 0, 0, 1
14.8438227, 1, 0, 1
14.8438330, 0, 0, 1
14.8438437, 0, 1, 1
14.8438540, 1, 1, 1
14.8438644, 0, 1, 1
14.8438751, 0, 0, 1
14.8438854, 1, 0, 1
14.8438958, 0, 0, 1
14.8439191, 1, 0, 1
14.8439294, 0, 0, 1
14.8439436, 1, 0, 1
14.8439541, 0, 0, 1
14.8439646, 1, 0, 1
14.8439750, 0, 0, 1
14.8439855, 1, 0, 1
14.8439960, 0, 0, 1
14.8440064, 1, 0, 1
14.8440169, 0, 0, 1
14.8440273, 1, 0, 1
14.8440378, 0, 0, 1
14.8440483, 1, 0, 1
14.8440587, 0, 0, 1
14.8440692, 1, 0, 1
14.8440797, 0, 0, 1
14.8440901, 1, 0, 1
14.8441006, 0, 0, 1
14.8443696, 0, 1, 1
14.8443699, 0, 1, 0
14.8493805, 1, 1, 0
14.8493908, 0, 1, 0
14.8494012, 1, 1, 0
14.8494115, 0, 1, 0
14.8495812, 0, 1, 1
14.8495813, 0, 1, 0
14.8495817, 0, 1, 1
14.8495820, 0, 1, 0
14.8495821, 0, 1, 1
14.8495822, 0, 1, 0
14.8495823, 0, 1, 1
14.8495832, 0, 1, 0
14.8495833, 0, 1, 1
14.8595141, 0, 0, 1
14.8595244, 1, 0, 1
