Time[s], Channel 0, Channel 1, Channel 2
90.0000000, 0, 1, 1
96.9770845, 0, 0, 1
96.9776384, 0, 1, 1
96.9786515, 0, 0, 1
96.9798342, 0, 1, 1
96.9817658, 0, 0, 1
96.9817972, 0, 1, 1
96.9837668, 0, 0, 1
96.9837981, 0, 1, 1
96.9857668, 0, 0, 1
96.9857981, 0, 1, 1
96.9877668, 0, 0, 1
96.9877981, 0, 1, 1
96.9897668, 0, 0, 1
96.9897981, 0, 1, 1
96.9917668, 0, 0, 1
96.9917981, 0, 1, 1
96.9937668, 0, 0, 1
96.9937982, 0, 1, 1
96.9957668, 0, 0, 1
96.9957982, 0, 1, 1
96.9977668, 0, 0, 1
96.9977982, 0, 1, 1
96.9997678, 0, 0, 1
96.9997991, 0, 1, 1
97.0017678, 0, 0, 1
97.0017991, 0, 1, 1
97.0037680, 0, 0, 1
97.0037994, 0, 1, 1
97.0057680, 0, 0, 1
97.0057994, 0, 1, 1
97.0077680, 0, 0, 1
97.0077994, 0, 1, 1
97.0097681, 0, 0, 1
97.0097994, 0, 1, 1
97.0117681, 0, 0, 1
97.0117994, 0, 1, 1
97.0137681, 0, 0, 1
97.0137994, 0, 1, 1
97.0157681, 0, 0, 1
97.0157994, 0, 1, 1
97.0177681, 0, 0, 1
97.0177994, 0, 1, 1
97.0197690, 0, 0, 1
97.0198004, 0, 1, 1
97.0217683, 0, 0, 1
97.0217996, 0, 1, 1
97.0237689, 0, 0, 1
97.0238002, 0, 1, 1
97.0257686, 0, 0, 1
97.0258000, 0, 1, 1
97.0277687, 0, 0, 1
97.0278000, 0, 1, 1
97.0297688, 0, 0, 1
97.0298002, 0, 1, 1
98.8068814, 0, 0, 1
98.8069128, 0, 1, 1
98.8088814, 0, 0, 1
98.8089128, 0, 1, 1
98.8108814, 0, 0, 1
98.8109128, 0, 1, 1
98.8128824, 0, 0, 1
98.8129137, 0, 1, 1
98.8148824, 0, 0, 1
98.8149137, 0, 1, 1
98.8168824, 0, 0, 1
98.8169137, 0, 1, 1
98.8188824, 0, 0, 1
98.8189137, 0, 1, 1
98.8208824, 0, 0, 1
98.8209138, 0, 1, 1
98.8228827, 0, 0, 1
98.8229140, 0, 1, 1
98.8248827, 0, 0, 1
98.8249140, 0, 1, 1
98.8268827, 0, 0, 1
98.8269140, 0, 1, 1
98.8288827, 0, 0, 1
98.8289140, 0, 1, 1
98.8297703, 0, 0, 1
98.8317554, 0, 1, 1
98.8327685, 0, 0, 1
98.8339512, 0, 1, 1
98.8358837, 0, 0, 1
98.8359151, 0, 1, 1
98.8378838, 0, 0, 1
98.8379151, 0, 1, 1
98.8398838, 0, 0, 1
98.8399151, 0, 1, 1
98.8418838, 0, 0, 1
98.8419151, 0, 1, 1
98.8438838, 0, 0, 1
98.8439151, 0, 1, 1
98.8458838, 0, 0, 1
98.8459151, 0, 1, 1
98.8478838, 0, 0, 1
98.8479152, 0, 1, 1
98.8498847, 0, 0, 1
98.8499161, 0, 1, 1
98.8518848, 0, 0, 1
98.8519161, 0, 1, 1
98.8538848, 0, 0, 1
98.8539161, 0, 1, 1
98.8558848, 0, 0, 1
98.8559161, 0, 1, 1
98.8578848, 0, 0, 1
98.8579161, 0, 1, 1
98.8778862, 0, 0, 1
98.8779175, 0, 1, 1
98.8798862, 0, 0, 1
98.8799175, 0, 1, 1
98.8818862, 0, 0, 1
98.8819175, 0, 1, 1
98.8838862, 0, 0, 1
98.8839176, 0, 1, 1
98.8858862, 0, 0, 1
98.8859176, 0, 1, 1
98.8878871, 0, 0, 1
98.8879185, 0, 1, 1
98.8898872, 0, 0, 1
98.8899185, 0, 1, 1
98.8918872, 0, 0, 1
98.8919185, 0, 1, 1
98.8938872, 0, 0, 1
98.8939185, 0, 1, 1
98.8958872, 0, 0, 1
98.8959185, 0, 1, 1
98.8978872, 0, 0, 1
98.8979186, 0, 1, 1
98.8998872, 0, 0, 1
98.8999186, 0, 1, 1
98.9018872, 0, 0, 1
98.9019186, 0, 1, 1
98.9038882, 0, 0, 1
98.9039195, 0, 1, 1
98.9058882, 0, 0, 1
98.9059195, 0, 1, 1
98.9078882, 0, 0, 1
98.9079195, 0, 1, 1
98.9098882, 0, 0, 1
98.9099195, 0, 1, 1
98.9118882, 0, 0, 1
