Time[s], Channel 0, Channel 1
2.832842, 1, 0
2.832894, 1, 1
2.832920, 1, 0
2.832998, 1, 1
2.833050, 1, 0
2.833076, 1, 1
3.029974, 1, 0
3.030000, 1, 1
3.030026, 1, 0
3.030208, 1, 1
3.030234, 1, 0
3.030286, 1, 1
3.030312, 1, 0
3.030338, 1, 1
3.030364, 1, 0
3.030468, 1, 1
3.030494, 1, 0
3.030650, 1, 1
3.030676, 1, 0
3.030728, 1, 1
3.030754, 1, 0
3.030988, 1, 1
3.031014, 1, 0
3.031040, 1, 1
3.031066, 1, 0
3.031144, 1, 1
3.031170, 1, 0
3.031248, 1, 1
3.032132, 1, 0
3.032236, 1, 1
3.032262, 1, 0
3.032366, 1, 1
3.032392, 1, 0
3.032418, 1, 1
3.032470, 1, 0
3.032626, 1, 1
3.032652, 1, 0
3.032678, 1, 1
3.032730, 1, 0
3.032886, 1, 1
3.032912, 1, 0
3.033146, 1, 1
3.033172, 1, 0
3.033406, 1, 1
3.033432, 1, 0
3.033458, 1, 1
3.033484, 1, 0
3.033536, 1, 1
3.033562, 1, 0
3.033614, 1, 1
3.033640, 1, 0
3.033666, 1, 1
3.538146, 1, 0
3.538172, 1, 1
3.538198, 1, 0
3.538380, 1, 1
3.538406, 1, 0
3.538458, 1, 1
3.538484, 1, 0
3.538510, 1, 1
3.538536, 1, 0
3.538640, 1, 1
3.538666, 1, 0
3.538822, 1, 1
3.538848, 1, 0
3.538900, 1, 1
3.538926, 1, 0
3.539160, 1, 1
3.539992, 1, 0
3.540018, 1, 1
3.540044, 1, 0
3.540122, 1, 1
3.540148, 1, 0
3.540226, 1, 1
3.540252, 1, 0
3.540356, 1, 1
3.540382, 1, 0
3.540486, 1, 1
3.540512, 1, 0
3.540538, 1, 1
3.540590, 1, 0
3.540746, 1, 1
3.541500, 1, 0
3.541526, 1, 1
3.541552, 1, 0
3.541578, 1, 1
3.541630, 1, 0
3.541734, 1, 1
3.541760, 1, 0
3.541994, 1, 1
3.542020, 1, 0
3.542254, 1, 1
3.542280, 1, 0
3.542306, 1, 1
3.542358, 1, 0
3.542410, 1, 1
3.542436, 1, 0
3.542462, 1, 1
3.542488, 1, 0
3.542514, 1, 1
4.043926, 1, 0
4.043952, 1, 1
4.043978, 1, 0
4.044160, 1, 1
4.044186, 1, 0
4.044238, 1, 1
4.044264, 1, 0
4.044290, 1, 1
4.044316, 1, 0
4.044420, 1, 1
4.044446, 1, 0
4.044602, 1, 1
4.044628, 1, 0
4.044680, 1, 1
4.044706, 1, 0
4.044940, 1, 1
4.044966, 1, 0
4.044992, 1, 1
4.045018, 1, 0
4.045096, 1, 1
4.045122, 1, 0
4.045200, 1, 1
4.045226, 1, 0
4.045330, 1, 1
4.045356, 1, 0
4.045460, 1, 1
4.045486, 1, 0
4.045512, 1, 1
4.045564, 1, 0
4.045720, 1, 1
4.045746, 1, 0
4.045772, 1, 1
4.045824, 1, 0
4.045850, 1, 1
4.045902, 1, 0
4.045980, 1, 1
4.046006, 1, 0
4.046240, 1, 1
4.046266, 1, 0
4.046500, 1, 1
4.046526, 1, 0
4.046552, 1, 1
4.046578, 1, 0
4.046682, 1, 1
4.046734, 1, 0
4.046760, 1, 1
4.550304, 1, 0
4.550330, 1, 1
4.550356, 1, 0
4.550538, 1, 1
4.550564, 1, 0
4.550616, 1, 1
4.550642, 1, 0
4.550668, 1, 1
4.550694, 1, 0
4.550798, 1, 1
4.550824, 1, 0
4.550980, 1, 1
4.551006, 1, 0
4.551058, 1, 1
4.551084, 1, 0
4.551318, 1, 1
4.551344, 1, 0
4.551370, 1, 1
4.551396, 1, 0
4.551474, 1, 1
4.551500, 1, 0
4.551578, 1, 1
4.551604, 1, 0
4.551708, 1, 1
4.551734, 1, 0
4.551838, 1, 1
4.551864, 1, 0
4.551890, 1, 1
4.551942, 1, 0
4.552098, 1, 1
4.552124, 1, 0
4.552176, 1, 1
4.552202, 1, 0
4.552228, 1, 1
4.552254, 1, 0
4.552280, 1, 1
4.552306, 1, 0
4.552358, 1, 1
4.552384, 1, 0
4.552618, 1, 1
4.552644, 1, 0
4.552878, 1, 1
4.552904, 1, 0
4.553034, 1, 1
4.553112, 1, 0
4.553138, 1, 1
5.056552, 1, 0
5.056578, 1, 1
5.056604, 1, 0
5.056786, 1, 1
5.056812, 1, 0
5.056864, 1, 1
5.056890, 1, 0
5.056916, 1, 1
5.056942, 1, 0
5.057046, 1, 1
5.057072, 1, 0
5.057228, 1, 1
5.057254, 1, 0
5.057306, 1, 1
5.057332, 1, 0
5.057566, 1, 1
5.057592, 1, 0
5.057618, 1, 1
5.057644, 1, 0
5.057722, 1, 1
5.057748, 1, 0
5.057826, 1, 1
5.057852, 1, 0
5.057956, 1, 1
5.057982, 1, 0
5.058086, 1, 1
5.058112, 1, 0
5.058138, 1, 1
5.058190, 1, 0
5.058346, 1, 1
5.058372, 1, 0
5.058398, 1, 1
5.058424, 1, 0
5.058476, 1, 1
5.058554, 1, 0
5.058606, 1, 1
5.058632, 1, 0
5.058866, 1, 1
5.058892, 1, 0
5.059126, 1, 1
5.059152, 1, 0
5.059178, 1, 1
5.059360, 1, 0
5.059386, 1, 1
5.563086, 1, 0
5.563112, 1, 1
5.563138, 1, 0
5.563320, 1, 1
5.563346, 1, 0
5.563398, 1, 1
5.563424, 1, 0
5.563450, 1, 1
5.563476, 1, 0
5.563580, 1, 1
5.563606, 1, 0
5.563762, 1, 1
5.563788, 1, 0
5.563840, 1, 1
5.563866, 1, 0
5.564100, 1, 1
5.564126, 1, 0
5.564152, 1, 1
5.564178, 1, 0
5.564256, 1, 1
5.564282, 1, 0
5.564360, 1, 1
5.564386, 1, 0
5.564490, 1, 1
5.564516, 1, 0
5.564620, 1, 1
5.564646, 1, 0
5.564672, 1, 1
5.564724, 1, 0
5.564880, 1, 1
5.564906, 1, 0
5.565010, 1, 1
5.565036, 1, 0
5.565088, 1, 1
5.565114, 1, 0
5.565140, 1, 1
5.565166, 1, 0
5.565400, 1, 1
5.565426, 1, 0
5.565660, 1, 1
5.565686, 1, 0
5.565738, 1, 1
5.565816, 1, 0
5.565894, 1, 1
6.068450, 1, 0
6.068476, 1, 1
6.068502, 1, 0
6.068684, 1, 1
6.068710, 1, 0
6.068762, 1, 1
6.068788, 1, 0
6.068814, 1, 1
6.068840, 1, 0
6.068944, 1, 1
6.068970, 1, 0
6.069126, 1, 1
6.069152, 1, 0
6.069204, 1, 1
6.069230, 1, 0
6.069464, 1, 1
6.069490, 1, 0
6.069516, 1, 1
6.069542, 1, 0
6.069620, 1, 1
6.069646, 1, 0
6.069724, 1, 1
6.069750, 1, 0
6.069854, 1, 1
6.069880, 1, 0
6.069984, 1, 1
6.070010, 1, 0
6.070036, 1, 1
6.070088, 1, 0
6.070244, 1, 1
6.070270, 1, 0
6.070296, 1, 1
6.070374, 1, 0
6.070400, 1, 1
6.070426, 1, 0
6.070452, 1, 1
6.070478, 1, 0
6.070504, 1, 1
6.070530, 1, 0
6.070764, 1, 1
6.070790, 1, 0
6.071024, 1, 1
6.071050, 1, 0
6.071076, 1, 1
6.071102, 1, 0
6.071128, 1, 1
6.071206, 1, 0
6.071258, 1, 1
6.576128, 1, 0
6.576154, 1, 1
6.576180, 1, 0
6.576362, 1, 1
6.576388, 1, 0
6.576440, 1, 1
6.576466, 1, 0
6.576492, 1, 1
6.576518, 1, 0
6.576622, 1, 1
6.576648, 1, 0
6.576804, 1, 1
6.576830, 1, 0
6.576882, 1, 1
6.576908, 1, 0
6.577142, 1, 1
6.577168, 1, 0
